target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
transcript:AT4G05160.1,608.0,0.0,351.0,346.0,208.0,277.0,311.0,305.0,263.0
transcript:AT4G05190.1,10.6188,0.0,14.039,0.0,10.3047,0.0,0.0,11.8023,16.3519
transcript:AT4G05190.2,20.3884,0.0,8.2026,21.0,0.0,15.0,14.0,13.324,13.8771
transcript:AT4G05200.1,103.099,0.0,75.237,2.31478,60.6953,48.4481,65.0,74.8738,1.20502e-07
transcript:AT4G05200.2,74.8936,0.0,21.5215,39.6852,3.24191e-05,33.5519,1.64143e-05,0.0,67.771
transcript:AT4G05320.2,96.0717,0.0,40.9052,0.0,0.00601352,0.0,0.0,86.1035,1.63542e-08
transcript:AT4G05320.1,1990.53,0.0,1262.24,69.1195,916.536,976.037,658.285,753.18,1388.46
transcript:AT4G05320.7,12.3244,1.0,19.7489,0.0,11.5854,16.5466,39.6622,18.3342,40.054
transcript:AT4G05320.8,2755.23,0.0,1862.34,1637.76,1499.97,1443.66,1738.97,1430.66,1583.39
transcript:AT4G05320.3,12105.1,0.0,7045.43,6751.11,5861.18,6910.84,6166.09,6099.71,7884.98
transcript:AT4G05320.4,1322.81,0.0,243.024,2618.21,455.715,648.24,1676.84,626.602,299.323
transcript:AT4G05330.1,19.4123,0.0,0.0,35.0,0.0,0.0,22.737,11.5765,0.0
transcript:AT4G05330.3,34.5877,0.0,23.0,0.0,9.74898,12.0,4.26305,7.42347,0.0
transcript:AT4G05380.1,249.0,0.0,108.0,78.0,72.0,73.0,112.0,68.0,134.0
transcript:AT4G05390.2,133.708,0.0,55.5422,123.675,20.8144,21.4458,63.8675,28.6061,37.1566
transcript:AT4G05390.1,165.292,0.0,110.458,48.3253,102.186,103.554,62.1325,74.3939,82.8434
transcript:AT4G05400.1,98.7461,0.0,55.0062,85.0,42.6353,34.6273,67.7392,45.291,51.5772
transcript:AT4G05400.2,19.2419,0.0,23.7185,0.0,0.0,21.1328,26.2089,8.0643,5.89799
transcript:AT4G05400.3,68.012,0.0,53.2753,0.0,41.3647,26.2399,10.0519,14.6447,77.5248
transcript:AT4G05410.1,848.0,0.0,480.0,428.0,340.0,403.0,416.0,358.0,501.0
transcript:AT4G05420.1,1986.33,0.0,823.164,1228.24,729.245,963.667,295.0,760.499,864.968
transcript:AT4G05420.2,672.667,0.0,682.836,32.7567,529.755,386.333,862.0,542.501,806.032
transcript:AT4G05440.1,429.236,0.0,221.55,148.776,204.099,160.123,193.764,159.621,270.535
transcript:AT4G05440.2,21.7636,0.0,40.4497,25.2241,15.9014,45.8768,85.236,70.3787,5.46473
transcript:AT4G05450.1,114.913,0.0,83.7226,60.9249,73.9802,47.8696,78.332,60.9249,69.6285
transcript:AT4G05450.2,24.626,0.0,0.0,47.3471,14.1162,22.2507,4.47627,16.6662,13.0339
transcript:AT4G05460.1,377.461,0.0,256.277,224.728,158.904,239.88,286.192,212.409,250.338
transcript:AT4G05520.1,39.8803,0.0,27.0598,0.0,0.0,6.00487,13.6277,0.0,13.7646
transcript:AT4G05530.1,981.0,0.0,606.0,329.0,486.0,575.0,523.0,402.0,485.0
transcript:AT4G05590.1,301.115,0.0,119.922,46.5073,150.798,193.706,197.115,103.633,80.9904
transcript:AT4G05590.3,180.167,0.0,46.4971,120.493,58.0086,33.5684,53.6133,65.3696,59.0695
transcript:AT4G05590.2,79.7182,0.0,40.5807,0.0,42.1932,11.7257,16.2717,18.9971,39.9401
transcript:AT4G05631.1,86.0,0.0,26.0,14.0,44.0,36.0,47.0,35.0,40.0
transcript:AT4G06534.1,96.0,0.0,79.0,148.0,133.0,205.0,224.0,274.0,215.0
