target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT1G18070.1,103.47,88.5434,98.4737,104.323,102.585,112.026,113.582,105.143,103.918
AT1G18070.3,13.0297,6.96199,13.9023,21.6092,14.406,15.0363,11.1176,10.0755,13.1551
AT5G36170.3,0.496785,0.0,0.0,0.0,0.0,0.812027,2.97411e-07,0.0,0.0
AT5G36170.1,0.473219,4.59837,2.58139,0.0,2.13171,0.145886,1.57052,1.45671,1.66689
AT5G36170.2,1.91649,0.0,0.00771287,2.99088,1.22708,3.21825,2.41186,2.13986,3.93693
AT5G36170.4,0.0,0.0,0.0,1.20525e-06,0.0,0.0,0.0,0.0,0.0
AT5G06600.1,15.1348,10.5317,14.1105,6.8578,15.3125,14.8252,12.9982,12.3851,24.3089
AT5G06600.2,40.7855,41.5331,37.011,37.7475,31.5428,36.7441,34.1664,46.1277,36.03
AT5G06600.3,0.288082,0.438421,0.0,0.0,0.48097,0.212452,0.113396,1.13543,0.238812
AT3G14830.4,6.67901,4.00335,2.86494,3.24103,4.86567,5.70933,0.985783,2.27761,2.65543
AT3G14830.1,30.1693,33.1569,33.4772,36.9226,29.103,33.8251,33.0585,34.8183,40.7068
AT3G14830.3,2.22455,1.85255,4.04995,0.0,3.0187,1.39727,1.63075,2.03083,0.0
AT3G14830.2,0.0,0.0,0.0,0.0248561,0.0,0.0,0.0,0.0,0.0
AT4G11300.1,56.8566,57.914,55.0594,40.8373,48.4647,47.1363,37.4048,47.0188,45.8873
AT3G18165.1,73.7704,60.9358,58.2662,42.2496,65.9085,60.2255,75.4517,68.0827,77.7369
AT3G32040.1,0.0,0.118194,0.0,0.0,0.0,0.0,0.0718997,0.085818,0.0
AT2G35790.1,11.7282,10.766,12.2871,15.0935,14.1725,13.3204,13.7817,13.5947,15.6606
AT1G26850.1,22.0252,21.1872,25.7074,37.7768,21.7764,21.2326,22.1727,24.629,25.8615
AT1G26850.2,6.76214,5.80107,4.7894,0.0,4.23204,4.86113,5.90604,3.71454,5.89746
AT1G26850.3,5.64894,8.4402,7.6562,0.0,5.68789,9.98692,7.71519e-08,6.25256,6.43678
AT3G59430.7,0.233455,0.0,0.346162,0.0,0.379535,0.533557,1.73685,0.761396,0.0
AT3G59430.8,1.14032,0.941812,2.96512,0.0,2.82681,0.0367984,0.441694,0.344133,5.14063
AT3G59430.5,0.0,0.160848,0.0,0.0,0.0,0.423054,0.363522,0.0,0.0
AT3G59430.2,3.2141,3.83353,2.15349,0.0,0.0,2.80771,0.921434,3.97498,0.377061
AT3G59430.4,0.212262,0.0,0.0,0.0,0.0,0.631181,0.0,0.0,0.0
AT3G59430.3,9.83368e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G59430.6,1.38168,1.412,0.0,3.97645,3.31069,1.63701,1.56862,0.0,1.10968
AT3G59430.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G02650.1,2.6325,2.16839,1.93119,0.0,3.03952,2.2935,3.6934,3.40074,2.74798
AT1G08120.1,1.30284,0.564907,0.283709,1.04928,0.791851,0.304847,1.08002,0.703141,0.715901
AT2G29460.1,105.646,100.553,104.713,104.9,87.8841,103.792,90.411,114.619,106.413
AT3G20220.1,0.0,0.0,0.0,0.0,0.0,0.200395,0.0,0.0,0.0
AT3G21550.1,3.39507,5.34508,5.13414,6.83576,1.96522,2.97899,1.70571,2.29038,2.44299
AT3G56140.3,2.88422,5.06208,5.68131,5.84559,4.86552,4.84599,3.82207,5.04072,3.87078
AT3G56140.2,8.1747e-10,0.760493,0.0,6.28074e-09,1.34247e-08,2.54231,1.76643,0.0,0.00149495
AT3G56140.1,3.10944,1.25919,1.49854,0.0,1.21719,0.0,1.20374,1.26078,3.68694
AT1G72010.1,10.008,10.4521,8.92231,9.43093,6.94666,7.99867,8.33147,7.52362,9.36347
AT1G16690.1,2.19574,2.93123,2.74798,0.76224,3.17748,2.70665,3.13829,2.72422,3.36801
AT2G31200.1,80.0928,69.3252,75.2374,62.2466,61.385,56.2629,87.3235,67.1497,67.5374
AT1G01380.2,0.382348,0.0,0.0,0.0,0.0,0.155801,0.0,0.0,0.850643
AT1G01380.3,0.0,0.628939,0.0,0.0,0.57478,0.0,3.42829,6.51748,0.0
AT1G01380.1,0.347525,0.709166,1.16436,0.0,0.497032,1.53506,5.17678,3.34045,4.34033
AT3G27140.1,0.0,0.0,0.0,0.165289,0.0,0.0,0.0,0.0,0.0
AT3G13550.1,14.5795,14.0559,16.4714,5.50384,16.3778,15.9287,20.0935,14.2879,20.9301
AT3G13550.2,0.0,0.0,0.0,11.5314,0.0,0.0,0.0,0.0,0.0
AT2G24580.1,2.38946,2.80437,2.60167,1.11413,2.07469,1.71653,1.1373,2.54523,2.02378
